,bikeid
0,31929
1,31845
2,31708
3,31697
4,31861
5,31859
6,31694
7,31754
8,31816
10,33463
11,26256
12,29616
13,29681
14,31949
15,29591
16,31925
17,31777
18,31763
19,29662
20,31765
21,31695
22,31934
23,31880
24,29623
25,31691
26,26314
27,29581
28,31954
29,29615
30,29598
33,31739
34,26288
37,31701
38,31842
39,29641
42,31890
43,31762
45,29644
46,29669
47,26275
48,31874
49,26229
50,31860
51,31683
52,26257
54,29635
55,31868
58,29588
59,31743
60,31675
62,31716
63,31908
64,32843
67,31687
68,31878
69,32795
70,31779
71,26252
72,31918
73,29672
77,31911
78,31678
83,29629
86,26228
88,26214
89,31706
92,31946
93,31684
95,31833
96,31760
98,29590
99,27011
100,31738
101,31843
103,31825
104,31822
105,29582
106,31735
107,31847
109,26249
110,31778
117,31680
122,31877
125,29600
127,31907
129,31829
131,31750
132,33372
134,26247
136,31711
137,29621
139,26268
140,31751
141,29607
145,31731
146,29655
147,31940
148,29602
150,31709
151,31728
152,31836
153,31926
154,31872
156,26186
163,31920
164,31866
166,31767
168,31870
169,29620
177,31681
179,31766
184,31727
191,26193
197,26262
198,31799
199,31704
200,26175
208,29613
210,31719
213,31840
214,29611
215,29622
218,31841
219,31811
226,29583
230,31715
231,31915
232,29642
233,31862
250,31713
256,31865
271,29587
273,30964
276,26239
277,31705
285,29595
288,31903
289,29618
292,31938
296,29584
304,29673
306,31773
307,26289
311,31808
312,31742
316,31772
322,31689
333,31759
336,31710
340,26272
350,31864
359,31813
366,32493
372,31721
373,29654
383,26205
385,31151
391,29619
393,31688
396,31690
398,31686
410,31776
411,31733
413,29608
424,31744
430,31933
436,31828
438,29617
440,31817
443,29640
452,26234
454,26290
485,31873
492,31835
498,26317
507,31867
514,26174
522,29580
524,29577
535,29597
546,29626
549,29610
573,29666
601,31832
604,31714
629,31914
643,29586
651,31717
655,31884
664,26190
677,29579
679,26197
713,31912
752,31700
753,29634
757,31802
773,26220
819,26155
832,26157
939,26166
957,29603
971,31927
1000,29612
1082,19421
1101,29674
1160,31722
1338,31875
1368,26243
1468,31769
1477,29604
1494,26079
1569,29593
1581,26164
1620,26212
1641,31849
1704,26201
2241,31725
2829,31747
3014,29614
3521,31753
3522,31732
12838,19802
12870,26198
12876,26172
12933,26160
12979,26310
12992,29661
13000,29523
13005,29229
13037,26210
13050,29445
13055,26253
13056,29263
